[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   Lepton2 pt = 104.69, y =  -1.78, phi =   0.91, m =  -0.03
   bJetCandP4 pt =  82.11, y =   1.78, phi =  -2.49, m =  11.57
   bJetCand2P4 pt =  30.95, y =   1.78, phi =   1.32, m =   7.01
   nuCandP4 pt =  21.50, y =   0.00, phi =  -0.49, m =   0.00
   Lepton1 pt =  30.33, y =   1.17, phi =  -1.47, m =   0.14
   Lepton2 pt =  72.66, y =   0.68, phi =  -1.95, m =  -0.01
   bJetCandP4 pt = 479.93, y =   1.12, phi =  -1.44, m =  29.36
   bJetCand2P4 pt = 479.93, y =   1.12, phi =  -1.44, m =  29.36
   nuCandP4 pt = 273.62, y =   0.00, phi =  -1.32, m =   0.07
    ---> Event 6000
   Lepton1 pt = 228.84, y =   0.08, phi =   1.23, m =   0.14
   Lepton2 pt =  83.44, y =   0.14, phi =  -1.54, m =  -0.02
   bJetCandP4 pt = 177.30, y =  -0.41, phi =   1.07, m =  16.08
   bJetCand2P4 pt = 216.96, y =   0.31, phi =  -2.01, m =  18.28
   nuCandP4 pt =  86.29, y =   0.00, phi =  -1.97, m =   0.01
   Lepton1 pt = 101.34, y =  -0.59, phi =   1.50, m =   0.14
   Lepton2 pt =  84.34, y =   1.80, phi =  -1.19, m =   0.02
   bJetCandP4 pt = 116.37, y =   1.48, phi =  -1.67, m =  14.46
   bJetCand2P4 pt = 116.37, y =   1.48, phi =  -1.67, m =  14.46
   nuCandP4 pt = 141.54, y =   0.00, phi =   1.52, m =   0.04
   Lepton1 pt = 110.43, y =   0.79, phi =   0.55, m =  -0.04
   Lepton2 pt =  56.95, y =  -1.15, phi =  -1.46, m =  -0.01
   bJetCandP4 pt = 360.29, y =   0.45, phi =   0.39, m =  40.40
   bJetCand2P4 pt =  64.46, y =  -0.16, phi =  -0.61, m =   9.20
   nuCandP4 pt = 113.38, y =   0.00, phi =   0.70, m =  -0.03
   Lepton1 pt =  34.50, y =  -2.01, phi =  -1.68, m =   0.14
   Lepton2 pt =  89.04, y =  -0.47, phi =   2.29, m =   0.03
   bJetCandP4 pt = 346.04, y =  -2.13, phi =  -0.96, m =  39.86
   bJetCand2P4 pt = 134.96, y =  -0.42, phi =   2.82, m =  10.54
