[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   theLepton pt =  78.09, y =   0.41, phi =  -0.61, m =   0.14
   bJetCandP4 pt = 576.77, y =   0.22, phi =  -0.68, m = 101.76
   hadTopCandP4 pt = 785.28, y =   0.31, phi =  -0.68, m = 224.12
   nuCandP4 pt = 176.11, y =  -0.21, phi =  -0.33, m = -36.80
   theLepton pt =  61.39, y =   0.65, phi =   1.06, m =   0.14
   bJetCandP4 pt = 859.18, y =   0.36, phi =   0.98, m = 145.59
   hadTopCandP4 pt = 981.68, y =   0.37, phi =   0.99, m = 201.57
   nuCandP4 pt =  19.04, y =    nan, phi =  -0.50, m = -23.44
   theLepton pt = 111.89, y =   1.19, phi =  -3.12, m =   0.14
   bJetCandP4 pt = 494.27, y =   1.08, phi =   3.02, m =  89.87
   hadTopCandP4 pt = 678.83, y =   1.05, phi =   3.07, m = 182.91
   nuCandP4 pt =  46.03, y =    nan, phi =   1.93, m = -65.60
   theLepton pt =  60.47, y =   0.84, phi =   0.08, m =   0.14
   bJetCandP4 pt = 894.09, y =   0.80, phi =   0.36, m = 131.14
   hadTopCandP4 pt = 988.55, y =   0.79, phi =   0.33, m = 195.66
   nuCandP4 pt =  50.46, y =   0.28, phi =  -1.38, m = -13.77
   theLepton pt = 526.59, y =  -0.96, phi =  -2.25, m =  -0.08
   bJetCandP4 pt = 120.99, y =  -1.24, phi =  -2.61, m =  14.27
